,abv,ibu,srm,style_new
0,0.061,60.0,7.0,Pale Ale
1,0.099,92.0,15.0,Barleywine
3,0.044000000000000004,42.0,7.0,Pale Ale
4,0.049,17.0,8.0,Fruit / Vegetable Beer
5,0.049,17.0,8.0,Fruit / Vegetable Beer
6,0.049,17.0,8.0,Fruit / Vegetable Beer
7,0.07,70.0,10.0,IPA
8,0.07,70.0,10.0,IPA
9,0.07,70.0,10.0,IPA
10,0.085,52.0,15.0,Strong Ale
11,0.09699999999999999,94.0,10.0,IPA
12,0.044000000000000004,42.0,7.0,Pale Ale
16,0.07,65.0,10.0,IPA
17,0.049,17.0,8.0,Fruit / Vegetable Beer
18,0.07,82.0,10.0,IPA
19,0.035,11.0,4.0,Weissbier
20,0.045,18.0,4.0,Blonde Ale
22,0.05,45.0,10.0,IPA
23,0.069,65.0,10.0,IPA
24,0.09,50.0,15.0,Strong Ale
27,0.059000000000000004,75.0,10.0,IPA
28,0.054000000000000006,30.0,7.0,Pale Ale
29,0.054000000000000006,30.0,7.0,Pale Ale
30,0.084,82.0,10.0,IPA
31,0.055,26.0,15.0,Amber
32,0.055,26.0,15.0,Amber
33,0.065,52.0,10.0,IPA
34,0.042,13.0,8.0,Fruit / Vegetable Beer
35,0.045,17.0,15.0,Amber
36,0.08199999999999999,68.0,10.0,IPA
37,0.05,20.0,18.0,Brown Ale
38,0.08,68.0,10.0,IPA
39,0.125,80.0,15.0,Barleywine
40,0.077,25.0,45.0,Stout
41,0.042,42.0,7.0,Pale Ale
44,0.04,13.0,7.0,Pale Ale
45,0.055,17.0,4.0,Pilsner
46,0.076,68.0,10.0,IPA
48,0.06,65.0,10.0,IPA
49,0.05,20.0,18.0,Brown Ale
50,0.053,35.0,45.0,Stout
51,0.05,35.0,7.0,Pale Ale
52,0.052000000000000005,33.0,4.0,Pilsner
53,0.04,20.0,4.0,Pilsner
54,0.053,36.0,7.0,Pale Ale
55,0.08199999999999999,103.0,10.0,IPA
56,0.053,40.0,7.0,Pale Ale
58,0.062,43.0,10.0,IPA
59,0.057,13.0,45.0,Stout
61,0.07,80.0,10.0,IPA
62,0.057999999999999996,15.0,12.0,Red Ale
63,0.057,13.0,45.0,Stout
64,0.055,25.0,11.0,Lager
65,0.057999999999999996,15.0,12.0,Red Ale
67,0.057,13.0,45.0,Stout
69,0.07,80.0,10.0,IPA
70,0.057999999999999996,15.0,12.0,Red Ale
72,0.055,28.0,7.0,Pale Ale
73,0.071,75.0,10.0,IPA
74,0.047,19.0,4.0,Blonde Ale
75,0.06,23.0,30.0,Porter
76,0.06,55.0,7.0,Pale Ale
78,0.092,50.0,45.0,Stout
81,0.07,45.0,10.0,IPA
83,0.053,26.0,30.0,Porter
84,0.06,69.0,10.0,IPA
85,0.055999999999999994,27.0,4.0,Blonde Ale
86,0.07,67.0,10.0,IPA
87,0.057,40.0,45.0,Stout
88,0.08199999999999999,138.0,10.0,IPA
89,0.062,35.0,30.0,Porter
90,0.06,35.0,12.0,Red Ale
91,0.075,115.0,10.0,IPA
92,0.055,12.0,30.0,Porter
93,0.045,8.0,4.0,Blonde Ale
94,0.05,62.0,10.0,IPA
95,0.05,12.0,11.0,Lager
97,0.055999999999999994,10.0,3.0,Witbier
98,0.063,69.0,10.0,IPA
99,0.055,17.0,18.0,Brown Ale
101,0.07200000000000001,22.0,12.0,Märzen
104,0.061,41.0,12.0,Red Ale
105,0.06,43.0,7.0,Pale Ale
106,0.068,70.0,10.0,IPA
107,0.044000000000000004,38.0,7.0,Pale Ale
108,0.038,40.0,10.0,IPA
110,0.07,75.0,10.0,IPA
111,0.07,70.0,10.0,IPA
113,0.035,45.0,12.0,Red Ale
114,0.07,46.0,10.0,IPA
115,0.06,60.0,10.0,IPA
116,0.049,22.0,4.0,Pilsner
117,0.067,60.0,10.0,IPA
118,0.068,62.0,11.0,Lager
119,0.05,20.0,3.0,Witbier
120,0.051,45.0,11.0,Lager
122,0.067,70.0,10.0,IPA
126,0.055,35.0,12.0,Red Ale
127,0.049,28.0,7.0,Pale Ale
128,0.069,69.0,10.0,IPA
129,0.08800000000000001,108.0,10.0,IPA
130,0.05,10.0,8.0,Fruit / Vegetable Beer
