idhu,abv,ibu,srm,style_new,abv_norm,ibu_norm,srm_norm
0,5.0,32.67474811913184,40.004234413960766,Pilsner,0.3333333333333333,0.2917388224922486,0.20220893122382932
1,5.0,32.67474811913184,40.004234413960766,Wheat,0.3333333333333333,0.2917388224922486,0.20220893122382932
2,7.7,32.67474811913184,40.004234413960766,Ale,0.5333333333333332,0.2917388224922486,0.20220893122382932
3,6.3,32.67474811913184,40.004234413960766,Stout,0.4296296296296296,0.2917388224922486,0.20220893122382932
4,5.2,32.67474811913184,40.004234413960766,APA,0.34814814814814815,0.2917388224922486,0.20220893122382932
5,9.0,10.0,12.0,APA,0.6296296296296295,0.08928571428571427,0.04918032786885246
6,9.0,19.0,90.0,Saison,0.6296296296296295,0.16964285714285712,0.47540983606557374
7,10.0,20.0,10.0,,0.7037037037037037,0.17857142857142855,0.03825136612021858
8,5.0,32.0,10.0,APA,0.3333333333333333,0.2857142857142857,0.03825136612021858
9,7.1,16.0,82.0,Stout,0.4888888888888889,0.14285714285714285,0.43169398907103823
10,8.0,60.0,100.0,,0.5555555555555556,0.5357142857142857,0.5300546448087432
11,10.2,32.0,12.0,,0.7185185185185183,0.2857142857142857,0.04918032786885246
12,6.3,45.0,12.0,,0.4296296296296296,0.40178571428571425,0.04918032786885246
13,5.6,7.0,6.0,Saison,0.3777777777777777,0.0625,0.01639344262295082
14,10.1,40.0,60.0,,0.711111111111111,0.3571428571428571,0.31147540983606553
15,8.0,32.0,100.0,Stout,0.5555555555555556,0.2857142857142857,0.5300546448087432
16,6.401113076255853,32.67474811913184,40.004234413960766,,0.43711948713006316,0.2917388224922486,0.20220893122382932
17,4.0,15.0,8.0,Blonde Ale,0.25925925925925924,0.13392857142857142,0.0273224043715847
18,5.0,28.0,26.0,Porter,0.3333333333333333,0.25,0.12568306010928962
19,5.2,10.0,8.0,,0.34814814814814815,0.08928571428571427,0.0273224043715847
20,9.5,100.0,8.0,IPA,0.6666666666666667,0.8928571428571428,0.0273224043715847
21,6.1,40.0,8.0,IPA,0.41481481481481475,0.3571428571428571,0.0273224043715847
22,8.3,20.0,64.0,Stout,0.5777777777777777,0.17857142857142855,0.3333333333333333
23,8.3,20.0,64.0,Stout,0.5777777777777777,0.17857142857142855,0.3333333333333333
24,6.4,40.0,10.0,,0.43703703703703706,0.3571428571428571,0.03825136612021858
25,5.3,23.5,30.818983216687865,Wheat,0.3555555555555555,0.20982142857142855,0.1520163017305348
26,9.0,30.0,12.0,,0.6296296296296295,0.26785714285714285,0.04918032786885246
27,6.2,32.53130598598268,8.0,IPA,0.4222222222222222,0.2904580891605596,0.0273224043715847
28,13.0,55.0,46.0,,0.9259259259259258,0.49107142857142855,0.23497267759562843
29,6.5,25.0,62.0,,0.4444444444444444,0.2232142857142857,0.3224043715846994
30,3.9,13.0,17.19807508368787,Wheat,0.2518518518518518,0.11607142857142856,0.07758510974692824
31,6.0,11.0,10.0,Wheat,0.4074074074074074,0.09821428571428571,0.03825136612021858
32,4.6,23.0,6.0,,0.30370370370370364,0.20535714285714285,0.01639344262295082
33,6.0,61.0,24.0,APA,0.4074074074074074,0.5446428571428571,0.11475409836065574
34,6.401113076255853,32.67474811913184,40.004234413960766,,0.43711948713006316,0.2917388224922486,0.20220893122382932
35,6.401113076255853,32.67474811913184,40.004234413960766,Ale,0.43711948713006316,0.2917388224922486,0.20220893122382932
