,idhu,abv,ibu,srm,style_new,abv_norm,ibu_norm,srm_norm,pred_style
0,0,5.0,32.67474811913184,40.00423441396077,Pilsner,0.3333333333333333,0.2917388224922486,0.20220893122382927,IPA
1,1,5.0,32.67474811913184,40.00423441396077,Wheat,0.3333333333333333,0.2917388224922486,0.20220893122382927,IPA
2,2,7.7,32.67474811913184,40.00423441396077,Ale,0.5333333333333332,0.2917388224922486,0.20220893122382927,IPA
3,3,6.3,32.67474811913184,40.00423441396077,Stout,0.4296296296296296,0.2917388224922486,0.20220893122382927,IPA
4,4,5.2,32.67474811913184,40.00423441396077,APA,0.3481481481481481,0.2917388224922486,0.20220893122382927,IPA
5,5,9.0,10.0,12.0,APA,0.6296296296296295,0.08928571428571427,0.049180327868852465,Pale Ale
6,6,9.0,19.0,90.0,Saison,0.6296296296296295,0.16964285714285712,0.4754098360655738,Brown Ale
7,7,10.0,20.0,10.0,,0.7037037037037037,0.17857142857142855,0.03825136612021858,Pale Ale
8,8,5.0,32.0,10.0,APA,0.3333333333333333,0.2857142857142857,0.03825136612021858,Pale Ale
9,9,7.1,16.0,82.0,Stout,0.4888888888888889,0.14285714285714285,0.43169398907103823,Brown Ale
10,10,8.0,60.0,100.0,,0.5555555555555556,0.5357142857142857,0.5300546448087432,Strong Ale
11,11,10.2,32.0,12.0,,0.7185185185185183,0.2857142857142857,0.049180327868852465,IPA
12,12,6.3,45.0,12.0,,0.4296296296296296,0.4017857142857143,0.049180327868852465,Pale Ale
13,13,5.6,7.0,6.0,Saison,0.3777777777777777,0.0625,0.016393442622950817,Witbier
14,14,10.1,40.0,60.0,,0.7111111111111109,0.3571428571428571,0.31147540983606553,Strong Ale
15,15,8.0,32.0,100.0,Stout,0.5555555555555556,0.2857142857142857,0.5300546448087432,Porter
16,16,6.401113076255852,32.67474811913184,40.00423441396077,,0.4371194871300632,0.2917388224922486,0.20220893122382927,IPA
17,17,4.0,15.0,8.0,Blonde Ale,0.25925925925925924,0.13392857142857142,0.0273224043715847,Blonde Ale
18,18,5.0,28.0,26.0,Porter,0.3333333333333333,0.25,0.12568306010928962,IPA
19,19,5.2,10.0,8.0,,0.3481481481481481,0.08928571428571427,0.0273224043715847,Blonde Ale
20,20,9.5,100.0,8.0,IPA,0.6666666666666667,0.8928571428571428,0.0273224043715847,IPA
21,21,6.1,40.0,8.0,IPA,0.4148148148148148,0.3571428571428571,0.0273224043715847,Pale Ale
22,22,8.3,20.0,64.0,Stout,0.5777777777777777,0.17857142857142855,0.3333333333333333,Brown Ale
23,23,8.3,20.0,64.0,Stout,0.5777777777777777,0.17857142857142855,0.3333333333333333,Brown Ale
24,24,6.4,40.0,10.0,,0.43703703703703706,0.3571428571428571,0.03825136612021858,Pale Ale
25,25,5.3,23.5,30.818983216687865,Wheat,0.3555555555555555,0.20982142857142852,0.1520163017305348,Red Ale
26,26,9.0,30.0,12.0,,0.6296296296296295,0.26785714285714285,0.049180327868852465,IPA
27,27,6.2,32.531305985982684,8.0,IPA,0.4222222222222222,0.2904580891605596,0.0273224043715847,Pale Ale
28,28,13.0,55.0,46.0,,0.9259259259259258,0.4910714285714286,0.23497267759562845,IPA
29,29,6.5,25.0,62.0,,0.4444444444444444,0.2232142857142857,0.3224043715846994,Brown Ale
30,30,3.9,13.0,17.19807508368787,Wheat,0.2518518518518518,0.11607142857142855,0.07758510974692824,Fruit / Vegetable Beer
31,31,6.0,11.0,10.0,Wheat,0.4074074074074074,0.09821428571428573,0.03825136612021858,Fruit / Vegetable Beer
32,32,4.6,23.0,6.0,,0.30370370370370364,0.20535714285714285,0.016393442622950817,Blonde Ale
33,33,6.0,61.0,24.0,APA,0.4074074074074074,0.5446428571428571,0.11475409836065575,IPA
34,34,6.401113076255852,32.67474811913184,40.00423441396077,,0.4371194871300632,0.2917388224922486,0.20220893122382927,IPA
35,35,6.401113076255852,32.67474811913184,40.00423441396077,Ale,0.4371194871300632,0.2917388224922486,0.20220893122382927,IPA
36,36,6.5,32.67474811913184,40.00423441396077,,0.4444444444444444,0.2917388224922486,0.20220893122382927,IPA
37,37,5.6,32.67474811913184,40.00423441396077,,0.3777777777777777,0.2917388224922486,0.20220893122382927,IPA
38,38,8.0,32.67474811913184,40.00423441396077,Lager,0.5555555555555556,0.2917388224922486,0.20220893122382927,IPA
39,39,4.6,32.67474811913184,40.00423441396077,Pilsner,0.30370370370370364,0.2917388224922486,0.20220893122382927,Red Ale
40,40,5.5,32.67474811913184,40.00423441396077,Pilsner,0.3703703703703704,0.2917388224922486,0.20220893122382927,IPA
41,41,5.5,32.67474811913184,40.00423441396077,,0.3703703703703704,0.2917388224922486,0.20220893122382927,IPA
42,42,5.5,32.67474811913184,40.00423441396077,,0.3703703703703704,0.2917388224922486,0.20220893122382927,IPA
43,43,5.5,32.67474811913184,40.00423441396077,,0.3703703703703704,0.2917388224922486,0.20220893122382927,IPA
44,44,5.5,32.67474811913184,40.00423441396077,,0.3703703703703704,0.2917388224922486,0.20220893122382927,IPA
45,45,5.5,32.67474811913184,40.00423441396077,,0.3703703703703704,0.2917388224922486,0.20220893122382927,IPA
46,46,5.5,32.67474811913184,40.00423441396077,,0.3703703703703704,0.2917388224922486,0.20220893122382927,IPA
47,47,5.5,32.67474811913184,40.00423441396077,,0.3703703703703704,0.2917388224922486,0.20220893122382927,IPA
48,48,5.5,32.67474811913184,40.00423441396077,,0.3703703703703704,0.2917388224922486,0.20220893122382927,IPA
49,49,5.5,32.67474811913184,40.00423441396077,Wheat,0.3703703703703704,0.2917388224922486,0.20220893122382927,IPA
50,50,4.6,32.67474811913184,40.00423441396077,Wheat,0.30370370370370364,0.2917388224922486,0.20220893122382927,Red Ale
51,51,8.0,32.67474811913184,40.00423441396077,IPA,0.5555555555555556,0.2917388224922486,0.20220893122382927,IPA
52,52,5.5,32.67474811913184,40.00423441396077,APA,0.3703703703703704,0.2917388224922486,0.20220893122382927,IPA
53,53,5.5,32.67474811913184,40.00423441396077,,0.3703703703703704,0.2917388224922486,0.20220893122382927,IPA
54,54,5.5,32.67474811913184,40.00423441396077,Wheat,0.3703703703703704,0.2917388224922486,0.20220893122382927,IPA
55,55,5.5,32.67474811913184,40.00423441396077,Wheat,0.3703703703703704,0.2917388224922486,0.20220893122382927,IPA
56,57,8.0,32.67474811913184,40.00423441396077,,0.5555555555555556,0.2917388224922486,0.20220893122382927,IPA
57,58,5.5,32.67474811913184,40.00423441396077,,0.3703703703703704,0.2917388224922486,0.20220893122382927,IPA
58,59,4.5,32.67474811913184,40.00423441396077,Pilsner,0.2962962962962963,0.2917388224922486,0.20220893122382927,Red Ale
59,60,6.0,32.67474811913184,40.00423441396077,,0.4074074074074074,0.2917388224922486,0.20220893122382927,IPA
60,61,5.2,9.0,29.084385044687878,Wheat,0.3481481481481481,0.08035714285714285,0.14253762319501573,Fruit / Vegetable Beer
61,62,4.5,32.67474811913184,40.00423441396077,Wheat,0.2962962962962963,0.2917388224922486,0.20220893122382927,Red Ale
62,63,5.1,26.0,29.094717717687868,Pale Ale,0.3407407407407407,0.2321428571428571,0.14259408588900474,IPA
