Belle, Beauty and the Beast
Mulan, Mulan
Rapunzel, Tangled
Ariel, The Little Mermaid
Jasmine, Aladdin
Pocahontas, Pocahontas
Merida, Brave
Tiana, The Princess and the Frog
Cinderella, Cinderella
Aurora, Sleeping Beauty
Megara, Hercules
Nala, The Lion King
Elsa, Frozen
Anna, Frozen
Princess Snow White, Snow White and the Seven Dwarfs
Moana, Moana
Esméralda, The Hunchback of Notre Dame
Princess Melody, The Little Mermaid II: Return to the Sea
Kiara, The Lion King II: Simba's Pride
Princess Eilonwy, The Black Cauldron
Princess Atta, A Bug's Life
Faline, Bambi, Bambi II
Elena, Elena of Avalor
Maid Marion, The Adventures of Robin Hood
Aphrodite, Hercules
